_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,does_the_person_have_ticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend,does_the_person_have_ticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend:confidence,does_the_person_have_ticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend:confidence_summary,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend:confidence,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend:confidence_summary,_activity,_activity:confidence,_activity:confidence_summary,_scenario,_scenario:confidence,_scenario:confidence_summary,what_is_the_main_scenario_portrayed_in_the_image,what_is_the_main_scenario_portrayed_in_the_image:confidence,what_is_the_main_scenario_portrayed_in_the_image:confidence_summary,which_activities_are_the_people_involved_in,which_activities_are_the_people_involved_in:confidence,which_activities_are_the_people_involved_in:confidence_summary,which_of_the_following_emotions_are_the_people_expressing,which_of_the_following_emotions_are_the_people_expressing:confidence,which_of_the_following_emotions_are_the_people_expressing:confidence_summary,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,are_the_people_an_important_part_of_the_image,are_the_people_an_important_part_of_the_image_gold,are_the_people_an_important_part_of_the_image_gold_reason,are_the_people_an_important_part_of_the_imageconfidence,are_the_people_interacting_with_each_,are_the_people_interacting_with_each__gold,are_the_people_interacting_with_each__gold_reason,are_the_people_interacting_with_each_confidence,are_there_people_in_the_image,are_there_people_in_the_image_gold,are_there_people_in_the_image_gold_reason,are_there_people_in_the_imageconfidence,are_there_people_in_the_imageconfidence_summary,batch_num,can_you_clearly_see_the_persons__peoples_faces,can_you_clearly_see_the_persons__peoples_faces_gold,can_you_clearly_see_the_persons__peoples_faces_gold_reason,can_you_clearly_see_the_persons__peoples_facesconfidence,can_you_clearly_see_the_persons__peoples_facesconfidence_summary,cant_access,cant_access_gold,cant_access_gold_reason,cant_accessconfidence,code,do_either_of_the_following_labels_apply_to_the_people_in_the_image,do_either_of_the_following_labels_apply_to_the_people_in_the_image_gold,do_either_of_the_following_labels_apply_to_the_people_in_the_image_gold_reason,do_either_of_the_following_labels_apply_to_the_people_in_the_imageconfidence,does_the_person_have_ticeable_hair_makeup_skin_andor_nail_polish__could_you_imagine_this_image_being_used_to_advertise_cosmetics_or_illustrate_a_beauty_trend_gold,how_many_people_are_in_the_image,how_many_people_are_in_the_image_gold,how_many_people_are_in_the_image_gold_reason,how_many_people_are_in_the_imageconfidence,image_url,is_the_persons_clothing_shoes_jewelry_or_fashion_accessories_an_important_part_of_the_image__could_you_imagine_this_image_being_used_to_advertise_a_clothing_line_or_illustrate_a_fashion_trend_gold,nil,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,_activity_gold,_scenario_gold,system_identifier,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_apply,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_apply_gold,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_apply_gold_reason,what_is_the_age_range_of_the_people_in_the_image__choose_all_that_applyconfidence,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_apply,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_apply_gold,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_apply_gold_reason,what_is_the_ethnicity_of_the_people_in_the_image__choose_all_that_applyconfidence,what_is_the_gender_of_the_people_in_the_image,what_is_the_gender_of_the_people_in_the_image_gold,what_is_the_gender_of_the_people_in_the_image_gold_reason,what_is_the_gender_of_the_people_in_the_imageconfidence,what_is_the_main_scenario_portrayed_in_the_image_gold,what_is_the_photo_type_of_the_image__choose_all_that_apply,what_is_the_photo_type_of_the_image__choose_all_that_apply_gold,what_is_the_photo_type_of_the_image__choose_all_that_apply_gold_reason,what_is_the_photo_type_of_the_image__choose_all_that_applyconfidence,what_physical_position_are_the_people_in,what_physical_position_are_the_people_in_gold,what_physical_position_are_the_people_in_gold_reason,what_physical_position_are_the_people_inconfidence,which_activities_are_the_people_involved_in_gold,which_of_the_following_emotions_are_the_people_expressing_gold,Keywords

1191978656,FALSE,finalized,3,3/30/17 15:33,beauty,0.669,""""": 0.331
""beauty"": 0.669
",fashion,0.669,""""": 0.331
""fashion"": 0.669
",,,,,,,,0.6617,""""": 0.662
""social"": 0.338
",,0.6617,""""": 0.662
""listening_to_music"": 0.338
",,0.6617,""""": 0.662
""neutral"": 0.331
"""": 0.331
""happiness"": 0.338
""laughter"": 0.338
",FALSE,3/22/17 17:22,3,1178716446,finalized,Yes,,,1,Yes,,,0.7037,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,Group,,,1,,3 people or more,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/8/e/e/c/TRU1388579.jpg,,,FALSE,3/10/17 22:51,3,1177857413,finalized,,,TRU1388579,Young Adult,,,1,Native American,,,0.7037,Male,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191978790,FALSE,finalized,3,3/30/17 15:29,beauty,0.6323,""""": 0.368
""beauty"": 0.632
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.7219,""""": 0.722
""fashion"": 0.278
""social"": 0.278
",dancing,0.6323,""""": 0.368
""dancing"": 0.632
""walking"": 0.278
""talking"": 0.278
",happiness,1,"""happiness"": 1.0
",FALSE,3/22/17 17:20,3,1178716472,finalized,Yes,,,1,Yes,,,1,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,2 people,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/5/a/3/e/TRU1388606.jpg,,,FALSE,3/10/17 23:02,3,1177857439,finalized,,,TRU1388606,Young Adult,,,0.6966,White or Caucasian,,,0.6966,Male,,,1,,Full body shot,,,0.6966,Standing,,,0.6966,,,beauty|fashion|||dancing|Standing

1191978793,FALSE,finalized,3,3/30/17 15:20,beauty,0.6885,"""beauty"": 0.689
"""": 0.311
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6885,""""": 0.689
""fashion"": 0.656
""social"": 0.311
",,1,""""": 1.0
""laughing"": 0.344
""talking"": 0.344
",happiness,1,"""happiness"": 1.0
"""": 0.344
",FALSE,3/22/17 17:23,3,1178716475,finalized,Yes,,,1,Yes,,,0.6746,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,Group,,,1,,3 people or more,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/2/c/f/TRU1388609.jpg,,,FALSE,3/10/17 22:58,3,1177857442,finalized,,,TRU1388609,Young Adult,,,0.6746,White or Caucasian,,,0.645,Female,,,1,,Full body shot,,,0.6746,Sitting,,,1,,,beauty|fashion||||Sitting

1191978800,FALSE,finalized,3,3/30/17 15:43,beauty,0.67,""""": 0.33
""beauty"": 0.67
",fashion,0.67,""""": 0.33
""fashion"": 0.67
",,0,,,,,,0.6587,""""": 0.659
""fashion"": 0.341
",,0.6587,""""": 0.659
"""": 0.341
",neutral,1,"""neutral"": 1.0
",FALSE,3/22/17 17:18,3,1178716484,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/1/6/3/f/TRU1388618.jpg,,,FALSE,3/10/17 22:54,3,1177857451,finalized,,,TRU1388618,Young Adult,,,0.6627,White or Caucasian,,,1,Female,,,1,,Full body shot,,,0.6627,Standing,,,1,,,beauty|fashion||||Standing

1191978834,FALSE,finalized,3,3/30/17 15:07,beauty,0.6596,"""beauty"": 0.66
"""": 0.34
",fashion,0.6596,"""fashion"": 0.66
"""": 0.34
",,,,,,,,0.6562,""""": 0.656
""fashion"": 0.344
",,0.6596,""""": 0.66
""walking"": 0.344
""laughing"": 0.34
",happiness,0.6842,"""neutral"": 0.66
""happiness"": 0.684
""anger"": 0.344
""excitement"": 0.344
""stress"": 0.344
"""": 0.34
",FALSE,3/23/17 19:39,3,1178716518,finalized,Yes,,,0.3478,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",TRUE,,,0.6522,,,,,,,,,,0,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/8/9/b/d/TRU1388653.jpg,,,FALSE,3/10/17 23:01,3,1177857486,finalized,,,TRU1388653,Middle-aged,,,0.3478,White or Caucasian,,,0.3478,Female,,,0.3478,,Headshot,,,0.3478,,,,0.3478,,,beauty|fashion||||

1191978867,FALSE,finalized,3,3/30/17 15:28,beauty,0.6646,""""": 0.335
""beauty"": 0.665
",fashion,0.6646,""""": 0.335
""fashion"": 0.665
",,,,,,,,0.6709,""""": 0.671
""fashion"": 0.329
",,1,""""": 1.0
",,0.6709,""""": 0.671
""neutral"": 0.329
",FALSE,3/22/17 16:36,3,1178716553,finalized,Yes,,,0.337,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",TRUE,,,0.663,,,,,,,,,,0,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/e/5/b/4/TRU1388693.jpg,,,FALSE,3/10/17 22:54,3,1177857521,finalized,,,TRU1388693,Young Adult,,,0.337,White or Caucasian,,,0.337,Female,,,0.337,,Full body shot,,,0.337,Standing,,,0.337,,,beauty|fashion||||Standing

1191978988,FALSE,finalized,3,3/30/17 15:45,beauty,0.6787,"""beauty"": 0.679
"""": 0.321
",fashion,0.6787,"""fashion"": 0.679
"""": 0.321
",,,,,,,,0.6758,""""": 0.676
""fashion"": 0.324
",,1,""""": 1.0
",,1,""""": 1.0
",FALSE,3/22/17 16:54,3,1178716569,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,0.6598,"""identifiable"": 0.66
""semi identifiable"": 0.34
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/a/a/e/3/TRU1388726.jpg,,,FALSE,3/10/17 22:58,3,1177857537,finalized,,,TRU1388726,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,0.676,,,beauty|fashion||||Standing

1191978991,FALSE,finalized,3,3/30/17 15:34,beauty,0.6667,"""beauty"": 0.667
"""": 0.333
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6667,"""fashion"": 0.333
"""": 0.667
",,0.6667,"""relaxing"": 0.333
"""": 0.667
""dancing"": 0.333
",neutral,1,"""neutral"": 1.0
"""": 0.333
",FALSE,3/22/17 17:10,3,1178716572,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/f/7/e/8/TRU1388732.jpg,,,FALSE,3/10/17 23:03,3,1177857540,finalized,,,TRU1388732,Mid Adult,,,0.6344,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191978993,FALSE,finalized,3,3/30/17 15:32,beauty,0.6524,""""": 0.348
""beauty"": 0.652
",fashion,0.6524,""""": 0.348
""fashion"": 0.652
",,,,,,,,0.6872,""""": 0.687
""travel"": 0.313
",,0.6872,""""": 0.687
""jumping"": 0.313
",happiness,0.6524,""""": 0.348
""happiness"": 0.652
",FALSE,3/22/17 17:16,3,1178716574,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/d/d/0/4/TRU1388737.jpg,,,FALSE,3/10/17 22:46,3,1177857542,finalized,,,TRU1388737,Young Adult,,,0.6599,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191978994,FALSE,finalized,3,3/30/17 15:09,beauty,0.6752,""""": 0.325
""beauty"": 0.675
",fashion,0.6752,""""": 0.325
""fashion"": 0.675
",,0,,,,,,0.6624,""""": 0.662
""romance"": 0.338
""fashion"": 0.338
",,0.6624,""""": 0.662
""listening_to_music"": 0.338
""relaxing"": 0.338
"""": 0.338
",,0.6624,""""": 0.662
""anger"": 0.338
""stress"": 0.338
""neutral"": 0.338
",FALSE,3/22/17 16:51,3,1178716575,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/9/d/3/TRU1388739.jpg,,,FALSE,3/10/17 23:01,3,1177857543,finalized,,,TRU1388739,Young Adult,,,0.6724,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979015,FALSE,finalized,3,3/30/17 15:06,beauty,0.67,""""": 0.33
""beauty"": 0.67
",fashion,1,"""fashion"": 1.0
",,0,,,,,,0.6611,""""": 0.661
""fashion"": 0.339
",,0.6611,""""": 0.661
"""": 0.339
",happiness,1,"""happiness"": 1.0
",FALSE,3/22/17 17:28,3,1178716593,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/8/c/3/c/TRU1388775.jpg,,,FALSE,3/10/17 22:46,3,1177857561,finalized,,,TRU1388775,Mid Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979024,FALSE,finalized,3,3/30/17 15:40,beauty,0.664,"""beauty"": 0.664
"""": 0.336
",fashion,0.3397,"""fashion"": 0.34
"""": 0.336
"""": 0.324
",,,,,,,,0.6756,""""": 0.676
""fashion"": 0.324
""travel"": 0.324
""events"": 0.324
",,1,""""": 1.0
",neutral,1,"""neutral"": 1.0
"""": 0.664
"""": 0.34
""boredom"": 0.324
",FALSE,3/22/17 16:49,3,1178716602,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/d/2/0/6/TRU1388796.jpg,,,FALSE,3/10/17 22:59,3,1177857570,finalized,,,TRU1388796,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Eye contact / looking at camera,,,0.6647,Standing,,,1,,,beauty|fashion||||Standing

1191979032,FALSE,finalized,3,3/30/17 15:02,beauty,0.6668,"""beauty"": 0.667
"""": 0.333
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.3373,""""": 0.337
""fashion"": 0.333
""fitness"": 0.329
",,0.6705,""""": 0.671
""relaxing"": 0.329
",neutral,0.6627,""""": 0.337
""neutral"": 0.663
",FALSE,3/22/17 17:07,3,1178716612,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/a/c/a/d/TRU1388819.jpg,,,FALSE,3/10/17 22:55,3,1177857580,finalized,,,TRU1388819,Young Adult,,,0.6595,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979044,FALSE,finalized,3,3/30/17 15:11,beauty,0.6669,"""beauty"": 0.667
"""": 0.333
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.345,""""": 0.345
""travel"": 0.333
""fashion"": 0.322
",,0.345,""""": 0.345
""walking"": 0.333
""jumping"": 0.322
",neutral,1,"""neutral"": 1.0
",FALSE,3/22/17 17:06,3,1178716623,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/1/7/e/1/TRU1388844.jpg,,,FALSE,3/10/17 22:55,3,1177857592,finalized,,,TRU1388844,Mid Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Walking,,,1,,,beauty|fashion||||Walking

1191979045,FALSE,finalized,3,3/30/17 15:37,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6748,"""fashion"": 0.325
"""": 0.675
",walking,1,"""walking"": 1.0
",neutral,0.6685,"""neutral"": 0.669
"""": 0.331
",FALSE,3/22/17 16:37,3,1178716624,finalized,Yes,,,0.6712,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,0.6712,,,,,,,1 person,,,0.6712,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/a/3/5/f/TRU1388847.jpg,,,FALSE,3/10/17 23:03,3,1177857593,finalized,,,TRU1388847,Middle-aged,,,0.3379,White or Caucasian,,,0.6712,Female,,,0.6712,,Full body shot,,,0.6712,Walking,,,0.6712,,,beauty|fashion|||walking|Walking

1191979208,FALSE,finalized,3,3/30/17 15:32,beauty,0.6667,"""beauty"": 0.667
"""": 0.333
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6667,"""fashion"": 0.333
""work"": 0.333
"""": 0.667
",dancing,0.6667,"""walking"": 0.333
""dancing"": 0.667
",surprise,0.6667,"""happiness"": 0.333
""surprise"": 0.667
",FALSE,3/22/17 17:07,3,1178716676,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/8/7/3/b/TRU1389157.jpg,,,FALSE,3/10/17 22:54,3,1177857645,finalized,,,TRU1389157,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion|||dancing|Standing

1191979226,FALSE,finalized,3,3/30/17 15:25,beauty,0.669,""""": 0.331
""beauty"": 0.669
",fashion,0.669,""""": 0.331
""fashion"": 0.669
",,,,,,,,0.6617,""""": 0.662
""fashion"": 0.338
",,0.6617,""""": 0.662
""walking"": 0.338
",neutral,0.669,""""": 0.662
""neutral"": 0.669
"""": 0.331
",FALSE,3/22/17 16:29,3,1178716693,finalized,Yes,,,1,Yes,,,0.6451,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,2 people,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/0/b/6/f/TRU1389177.jpg,,,FALSE,3/10/17 23:02,3,1177857662,finalized,,,TRU1389177,Young Adult,,,1,White or Caucasian,,,1,Male,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979252,FALSE,finalized,3,3/30/17 14:58,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6666,"""fashion"": 0.333
"""": 0.667
",,0.6697,""""": 0.67
""jumping"": 0.33
",neutral,1,"""excitement"": 0.333
""neutral"": 1.0
",FALSE,3/22/17 17:14,3,1178716721,finalized,Yes,,,1,Yes,,,0.6773,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,0.6942,"""identifiable"": 0.694
""semi identifiable"": 0.306
",,,,1,,,,,,,2 people,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/1/7/e/a/TRU1389204.jpg,,,FALSE,3/10/17 22:49,3,1177857689,finalized,,,TRU1389204,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979258,FALSE,finalized,3,3/30/17 15:41,beauty,0.6798,""""": 0.32
""beauty"": 0.68
",fashion,0.6798,""""": 0.32
""fashion"": 0.68
",,,,,,,,0.6608,""""": 0.661
""fashion"": 0.339
",,0.6608,""""": 0.661
""relaxing"": 0.339
",neutral,0.6798,""""": 0.32
""neutral"": 0.68
",FALSE,3/22/17 17:18,3,1178716727,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/d/d/4/7/TRU1389210.jpg,,,FALSE,3/10/17 22:56,3,1177857695,finalized,,,TRU1389210,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979280,FALSE,finalized,3,3/30/17 15:47,beauty,0.6604,""""": 0.34
""beauty"": 0.66
",fashion,0.6604,""""": 0.34
""fashion"": 0.66
",,,,,,,,0.6792,""""": 0.679
""fashion"": 0.321
",,0.6792,""""": 0.679
""relaxing"": 0.321
",neutral,0.6604,""""": 0.34
""neutral"": 0.66
",FALSE,3/22/17 17:14,3,1178716748,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/6/3/2/b/TRU1389233.jpg,,,FALSE,3/10/17 22:57,3,1177857716,finalized,,,TRU1389233,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Sitting,,,1,,,beauty|fashion||||Sitting

1191979292,FALSE,finalized,3,3/30/17 15:10,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,,,,,,,1,""""": 1.0
",,1,""""": 1.0
",neutral,1,"""neutral"": 1.0
"""": 0.338
"""": 0.338
""happiness"": 0.33
",FALSE,3/22/17 17:17,3,1178716760,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/5/b/8/3/TRU1389246.jpg,,,FALSE,3/10/17 22:55,3,1177857728,finalized,,,TRU1389246,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Half length shot,,,1,Standing,,,0.6748,,,beauty|fashion||||Standing

1191979404,FALSE,finalized,3,3/30/17 15:35,beauty,0.6711,""""": 0.329
""beauty"": 0.671
",fashion,0.6711,""""": 0.329
""fashion"": 0.671
",,,,,,,,0.673,""""": 0.673
""fashion"": 0.327
""romance"": 0.344
",,1,""""": 1.0
",neutral,0.6711,""""": 0.329
""neutral"": 0.671
",FALSE,3/22/17 17:09,3,1178716770,finalized,Yes,,,1,,,,0.3352,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,2 people,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/c/2/d/a/TRU1389256.jpg,,,FALSE,3/10/17 22:47,3,1177857738,finalized,,,TRU1389256,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979430,FALSE,finalized,3,3/30/17 15:31,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,0,,,,,,0.6667,""""": 0.667
""fashion"": 0.333
""relaxation"": 0.333
",,0.6667,""""": 0.667
""walking"": 0.333
"""": 0.333
",neutral,0.6667,"""happiness"": 0.667
""neutral"": 0.667
"""": 0.333
",FALSE,3/22/17 17:11,3,1178716795,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/6/6/8/0/TRU1389281.jpg,,,FALSE,3/10/17 22:52,3,1177857763,finalized,,,TRU1389281,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Head and shoulders,,,0.6857,Standing,,,1,,,beauty|fashion||||Standing

1191979458,FALSE,finalized,3,3/30/17 15:09,beauty,0.67,"""beauty"": 0.67
"""": 0.33
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6611,""""": 0.661
""fashion"": 0.339
",,1,""""": 1.0
",neutral,1,"""neutral"": 1.0
"""": 0.339
",FALSE,3/22/17 17:07,3,1178716823,finalized,Yes,,,1,Yes,,,0.673,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,2 people,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/5/b/e/TRU1389310.jpg,,,FALSE,3/10/17 22:51,3,1177857791,finalized,,,TRU1389310,Young Adult,,,0.673,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979459,FALSE,finalized,3,3/30/17 15:19,beauty,0.6763,"""beauty"": 0.676
"""": 0.324
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.667,"""fashion"": 0.333
"""": 0.667
",,1,""""": 1.0
",neutral,0.6763,"""neutral"": 0.676
"""": 0.324
",FALSE,3/22/17 17:16,3,1178716824,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/4/b/3/d/TRU1389311.jpg,,,FALSE,3/10/17 22:59,3,1177857792,finalized,,,TRU1389311,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979461,FALSE,finalized,3,3/30/17 15:39,beauty,0.3428,""""": 0.33
"""": 0.327
""beauty"": 0.343
",fashion,0.6701,""""": 0.33
""fashion"": 0.67
",,,,,,,,0.6727,""""": 0.673
""fashion"": 0.67
",,1,""""": 1.0
",,0.6727,""""": 0.673
""neutral"": 0.67
",FALSE,3/22/17 17:18,3,1178716826,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/0/5/9/f/TRU1389313.jpg,,,FALSE,3/10/17 23:03,3,1177857794,finalized,,,TRU1389313,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,1,Standing,,,1,,,beauty|fashion||||Standing

1191979481,FALSE,finalized,3,3/30/17 15:08,beauty,1,"""beauty"": 1.0
",fashion,1,"""fashion"": 1.0
",,,,,,,,0.6698,""""": 0.67
""fashion"": 0.33
",,1,""""": 1.0
",neutral,0.6681,""""": 0.332
""neutral"": 0.668
",FALSE,3/22/17 17:09,3,1178716846,finalized,Yes,,,1,,,,,people,,,1,"""people"": 1.0
",TA20170309,identifiable,,,1,"""identifiable"": 1.0
",,,,1,,,,,,,1 person,,,1,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/a/0/c/7/TRU1389334.jpg,,,FALSE,3/10/17 23:02,3,1177857814,finalized,,,TRU1389334,Young Adult,,,1,White or Caucasian,,,1,Female,,,1,,Full body shot,,,0.6651,Standing,,,1,,,beauty|fashion||||Standing
