_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,which_of_the_following_colors_are_featured_prominently_in_the_color_scheme_of_the_room,which_of_the_following_colors_are_featured_prominently_in_the_color_scheme_of_the_room:confidence,which_of_the_following_colors_are_featured_prominently_in_the_color_scheme_of_the_room:confidence_summary,which_of_these_furniture_types_are_depicted_in_the_image,which_of_these_furniture_types_are_depicted_in_the_image:confidence,which_of_these_furniture_types_are_depicted_in_the_image:confidence_summary,which_of_these_items_are_a_main_focus_in_the_image,which_of_these_items_are_a_main_focus_in_the_image:confidence,which_of_these_items_are_a_main_focus_in_the_image:confidence_summary,which_of_these_items_are_featured_prominently_in_the_image,which_of_these_items_are_featured_prominently_in_the_image:confidence,which_of_these_items_are_featured_prominently_in_the_image:confidence_summary,which_of_these_rooms_is_depicted_in_the_image,which_of_these_rooms_is_depicted_in_the_image:confidence,which_of_these_rooms_is_depicted_in_the_image:confidence_summary,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,are_there_people_in_the_image,are_there_people_in_the_image_gold,are_there_people_in_the_image_gold_reason,are_there_people_in_the_imageconfidence,are_there_people_in_the_imageconfidence_summary,batch_num,can_you_clearly_see_the_persons__peoples_faces,can_you_clearly_see_the_persons__peoples_faces_gold,can_you_clearly_see_the_persons__peoples_faces_gold_reason,can_you_clearly_see_the_persons__peoples_facesconfidence,can_you_clearly_see_the_persons__peoples_facesconfidence_summary,cant_access,cant_access_gold,cant_accessconfidence,code,image_url,nil,orig__golden,orig__last_judgment_at,orig__trusted_judgments,orig__unit_id,orig__unit_state,orig_was_the_image_taken_in_a_photo_studio,orig_what_color_is_the_background,_indoor_location,_indoor_location_gold,_indoor_location_gold_reason,system_identifier,was_the_image_taken_in_a_photo_studio,was_the_image_taken_in_a_photo_studio_gold,was_the_image_taken_in_a_photo_studioconfidence,was_the_image_taken_in_a_photo_studioconfidence_summary,was_the_image_taken_indoors_or_outdoors,was_the_image_taken_indoors_or_outdoors_gold,was_the_image_taken_indoors_or_outdoorsconfidence,was_the_image_taken_indoors_or_outdoorsconfidence_summary,what_color_is_the_background,what_color_is_the_background_gold,what_color_is_the_backgroundconfidence,what_color_is_the_backgroundconfidence_summary,what_does_the_image_focus_on,what_does_the_image_focus_on_gold,what_does_the_image_focus_onconfidence,what_season_does_it_appear_to_be_in_the_image,what_season_does_it_appear_to_be_in_the_image_gold,what_season_does_it_appear_to_be_in_the_imageconfidence,what_season_does_it_appear_to_be_in_the_imageconfidence_summary,what_time_of_day_is_it_in_the_image,what_time_of_day_is_it_in_the_image_gold,what_time_of_day_is_it_in_the_imageconfidence,what_time_of_day_is_it_in_the_imageconfidence_summary,what_type_of_setting_does_the_image_take_place_in,what_type_of_setting_does_the_image_take_place_in_gold,what_type_of_setting_does_the_image_take_place_in_gold_reason,what_type_of_setting_does_the_image_take_place_inconfidence,which_of_the_following_colors_are_featured_prominently_in_the_color_scheme_of_the_room_gold,which_of_these_furniture_types_are_depicted_in_the_image_gold,which_of_these_items_are_a_main_focus_in_the_image_gold,which_of_these_items_are_featured_prominently_in_the_image_gold,which_of_these_rooms_is_depicted_in_the_image_gold,Keywords

1192030634,FALSE,finalized,3,3/28/17 19:33,white,1,"""white"": 1.0
",,0,,decor,0.6938,"""furniture"": 0.642
""appliances"": 0.306
""decor"": 0.694
",,0.3583,""""": 0.335
"""": 0.358
",,0.3583,"""kitchen"": 0.306
""living_room"": 0.335
"""": 0.358
",FALSE,3/22/17 16:29,3,1178725182,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/5/9/4/c/TRU1402307.jpg,,FALSE,3/10/17 22:55,3,1177858467,finalized,,,,,,TRU1402307,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white||decor|||||interiors|

1192030635,FALSE,finalized,3,3/28/17 19:48,white,1,"""white"": 1.0
",table,0.6974,"""table"": 0.697
""chair"": 0.697
",furniture,0.6974,"""walls"": 0.303
""furniture"": 0.697
""lighting"": 0.348
""decor"": 0.348
",,0,,dining_area,0.6974,"""living_room"": 0.65
""dining_area"": 0.697
",FALSE,3/22/17 16:31,3,1178725183,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/b/f/a/TRU1402308.jpg,,FALSE,3/10/17 23:00,3,1177858468,finalized,,,,,,TRU1402308,,,,,,,,,,,,,interiors,,0.6861,,,,,,,,,,,,,,,,,,white|table|furniture||dining_area|||interiors|

1192030636,FALSE,finalized,3,3/28/17 20:02,white,1,"""white"": 1.0
",chair,1,"""chair"": 1.0
",furniture,1,"""furniture"": 1.0
",,,,living_room,0.3432,"""home_office"": 0.322
"""": 0.335
""living_room"": 0.343
",FALSE,3/22/17 16:35,3,1178725184,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/6/9/e/c/TRU1402309.jpg,,FALSE,3/10/17 23:04,3,1177858469,finalized,,,,,,TRU1402309,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|chair|furniture||living_room|||interiors|

1192030637,FALSE,finalized,3,3/28/17 20:01,white,0.6779,"""red"": 0.322
""black"": 0.38
""white"": 0.678
",chair,1,"""chair"": 1.0
""table"": 0.678
",furniture,1,"""furniture"": 1.0
""floor"": 0.38
""lighting"": 0.38
""decor"": 0.38
",,0,,dining_area,1,"""dining_area"": 1.0
",FALSE,3/22/17 16:37,3,1178725186,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/4/e/5/0/TRU1402313.jpg,,FALSE,3/10/17 22:58,3,1177858471,finalized,,,,,,TRU1402313,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|chair|furniture||dining_area|||interiors|

1192030638,FALSE,finalized,3,3/28/17 19:44,gray,0.6896,"""brown"": 0.647
""gray"": 0.69
""white"": 0.353
",,0,,,0.3528,"""furniture"": 0.337
""decor"": 0.31
"""": 0.353
",,0,,utility_space,1,"""loft"": 0.69
""utility_space"": 1.0
",FALSE,3/22/17 16:32,3,1178725188,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/e/3/b/6/TRU1402463.jpg,,FALSE,3/10/17 22:57,3,1177858473,finalized,,,,,,TRU1402463,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,gray||||utility_space|||interiors|

1192030639,FALSE,finalized,3,3/28/17 19:34,white,1,"""white"": 1.0
""gray"": 0.343
""red"": 0.343
",,,,walls,0.6565,"""walls"": 0.657
"""": 0.326
"""": 0.343
",,,,,1,""""": 1.0
",FALSE,3/22/17 16:39,3,1178725250,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/3/5/7/TRU1416734.jpg,,FALSE,3/10/17 22:55,3,1177858710,finalized,,,,,,TRU1416734,,,,,,,,,,,,,interiors,,0.6575,,,,,,,,,,,,,,,,,,white||walls|||||interiors|

1192030640,FALSE,finalized,3,3/28/17 20:08,gray,0.6489,"""yellow"": 0.351
""gray"": 0.649
",,,,,0.6697,""""": 0.67
""appliances"": 0.319
"""": 0.33
",,,,,0.6697,""""": 0.67
"""": 0.33
",FALSE,3/22/17 16:29,3,1178725251,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/d/9/3/c/TRU1416735.jpg,,FALSE,3/10/17 22:47,3,1177858711,finalized,,,,,,TRU1416735,,,,,,,,,,,,,interiors,,0.6525,,,,,,,,,,,,,,,,,,gray|||||||interiors|

1192030641,FALSE,finalized,3,3/28/17 19:46,,0.6421,""""": 0.642
""gray"": 0.358
",,,,,0.6716,""""": 0.672
"""": 0.328
",,,,,0.6716,""""": 0.672
"""": 0.328
",FALSE,3/22/17 16:32,3,1178725253,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/1/f/8/b/TRU1416737.jpg,,FALSE,3/10/17 22:42,3,1177858713,finalized,,,,,,TRU1416737,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,|||||||interiors|

1192030642,FALSE,finalized,3,3/28/17 19:59,,0.6795,""""": 0.679
""gray"": 0.321
""yellow"": 0.321
"""": 0.353
",,,,,0.6795,""""": 0.679
""floor"": 0.321
""walls"": 0.321
"""": 0.673
",,,,,0.6795,""""": 0.679
"""": 0.673
",FALSE,3/22/17 17:39,3,1178725259,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/9/1/4/f/TRU1416746.jpg,,FALSE,3/10/17 22:50,3,1177858722,finalized,,,,,,TRU1416746,,,,,,,,,,,,,interiors,,0.6579,,,,,,,,,,,,,,,,,,|||||||interiors|

1192030643,FALSE,finalized,3,3/28/17 19:51,,0.6281,""""": 0.628
"""": 0.372
",,,,,0.7025,""""": 0.702
"""": 0.298
",,,,,0.7025,""""": 0.702
"""": 0.298
",FALSE,3/22/17 16:54,3,1178725260,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/f/2/5/3/TRU1416747.jpg,,FALSE,3/10/17 22:53,3,1177858723,finalized,,,,,,TRU1416747,,,,,,,,,,,,,interiors,,0.6878,,,,,,,,,,,,,,,,,,|||||||interiors|

1192030644,FALSE,finalized,3,3/28/17 19:53,gray,0.6596,"""white"": 0.34
""gray"": 0.66
",,,,,1,""""": 1.0
",,,,,0.6695,""""": 0.67
""utility_space"": 0.33
",FALSE,3/22/17 16:27,3,1178725262,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/6/d/9/4/TRU1416749.jpg,,FALSE,3/10/17 22:48,3,1177858725,finalized,,,,,,TRU1416749,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,gray|||||||interiors|

1192030645,FALSE,finalized,3,3/28/17 19:56,,0.3477,"""gray"": 0.345
""brown"": 0.307
"""": 0.348
",,0,,,0.6925,""""": 0.693
""furniture"": 0.307
",,,,utility_space,0.6523,"""utility_space"": 0.652
"""": 0.348
",FALSE,3/22/17 16:35,3,1178725266,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/5/a/b/TRU1416791.jpg,,FALSE,3/10/17 22:42,3,1177858729,finalized,,,,,,TRU1416791,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,||||utility_space|||interiors|

1192030646,FALSE,finalized,3,3/28/17 19:59,white,0.6607,"""white"": 0.661
"""": 0.339
",,0,,,0.3393,"""furniture"": 0.339
"""": 0.339
""walls"": 0.321
"""": 0.339
",,,,,1,""""": 1.0
",FALSE,3/22/17 16:29,3,1178725319,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/e/1/8/e/TRU1420019.jpg,,FALSE,3/10/17 22:59,3,1177858829,finalized,,,,,,TRU1420019,,,,,,,,,,,,,interiors,,0.6897,,,,,,,,,,,,,,,,,,white|||||||interiors|

1192030647,FALSE,finalized,3,3/28/17 19:46,white,1,"""white"": 1.0
",,,,decor,1,"""decor"": 1.0
""walls"": 0.312
",photograph,0.6207,"""photograph"": 0.621
""painting"": 0.379
",,0.6917,"""living_room"": 0.308
"""": 0.692
",FALSE,3/22/17 16:27,3,1178725330,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/1/3/c/6/TRU1420291.jpg,,FALSE,3/10/17 23:00,3,1177858846,finalized,,,,,,TRU1420291,,,,,,,,,,,,,interiors,,0.6961,,,,,,,,,,,,,,,,,,white||decor|photograph||||interiors|

1192030648,FALSE,finalized,3,3/28/17 19:57,white,0.6856,"""brown"": 0.314
""pink"": 0.686
""white"": 0.686
",couch,1,"""couch"": 1.0
""table"": 0.314
",furniture,1,"""furniture"": 1.0
""walls"": 0.686
""decor"": 0.686
""floor"": 0.314
",,0,,living_room,1,"""living_room"": 1.0
",FALSE,3/22/17 16:31,3,1178725331,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/3/9/5/c/TRU1420292.jpg,,FALSE,3/10/17 22:45,3,1177858847,finalized,,,,,,TRU1420292,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|couch|furniture||living_room|||interiors|

1192030649,FALSE,finalized,3,3/28/17 19:59,white,1,"""white"": 1.0
",shelving,0.6661,"""shelving"": 0.666
",furniture,0.6661,"""floor"": 0.334
""walls"": 0.334
""furniture"": 0.666
",,,,utility_space,0.3589,""""": 0.334
""utility_space"": 0.359
""entranceway"": 0.307
",FALSE,3/22/17 16:32,3,1178725333,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/a/9/e/d/TRU1420294.jpg,,FALSE,3/10/17 22:50,3,1177858849,finalized,,,,,,TRU1420294,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|shelving|furniture||utility_space|||interiors|

1192030650,FALSE,finalized,3,3/28/17 19:46,white,0.6635,"""white"": 0.663
""black"": 0.337
",,,,decor,1,"""decor"": 1.0
""walls"": 0.329
",painting,1,"""painting"": 1.0
",living_room,1,"""living_room"": 1.0
",FALSE,3/22/17 16:33,3,1178725334,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/c/d/3/e/TRU1420295.jpg,,FALSE,3/10/17 23:03,3,1177858850,finalized,,,,,,TRU1420295,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white||decor|painting|living_room|||interiors|

1192030651,FALSE,finalized,3,3/28/17 19:37,white,0.6942,"""white"": 0.694
"""": 0.306
""yellow"": 0.357
",couch,0.6432,"""couch"": 0.643
""table"": 0.337
",furniture,0.6432,"""furniture"": 0.643
""floor"": 0.357
""walls"": 0.357
",,,,hallway,0.6942,"""hallway"": 0.694
""entranceway"": 0.306
",FALSE,3/22/17 16:34,3,1178725335,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/6/5/8/9/TRU1420296.jpg,,FALSE,3/10/17 22:50,3,1177858851,finalized,,,,,,TRU1420296,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|couch|furniture||hallway|||interiors|

1192030652,FALSE,finalized,3,3/28/17 20:03,white,0.6743,"""pink"": 0.326
""white"": 0.674
""green"": 0.342
",chair,1,"""chair"": 1.0
""table"": 0.674
",furniture,1,"""furniture"": 1.0
""floor"": 0.332
""walls"": 0.332
""windows"": 0.332
""lighting"": 0.332
""decor"": 0.674
",,0,,dining_area,1,"""dining_area"": 1.0
",FALSE,3/22/17 16:35,3,1178725336,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/6/e/3/c/TRU1420297.jpg,,FALSE,3/10/17 22:58,3,1177858852,finalized,,,,,,TRU1420297,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|chair|furniture||dining_area|||interiors|

1192030653,FALSE,finalized,3,3/28/17 19:43,white,1,"""white"": 1.0
",,0,,walls,0.7006,"""furniture"": 0.65
""windows"": 0.299
""walls"": 0.701
""floor"": 0.35
""decor"": 0.35
",,0,,living_room,0.6497,"""living_room"": 0.65
""hallway"": 0.35
",FALSE,3/22/17 16:37,3,1178725337,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/7/6/d/2/TRU1420298.jpg,,FALSE,3/10/17 22:54,3,1177858853,finalized,,,,,,TRU1420298,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white||walls||living_room|||interiors|

1192030654,FALSE,finalized,3,3/28/17 19:43,white,0.69,"""white"": 0.69
"""": 0.31
",chair,0.628,"""table"": 0.318
""chair"": 0.628
",furniture,0.628,"""furniture"": 0.628
""decor"": 0.372
""walls"": 0.31
",,0,,living_room,1,"""living_room"": 1.0
",FALSE,3/22/17 16:36,3,1178725341,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/4/1/9/1/TRU1420303.jpg,,FALSE,3/10/17 22:55,3,1177858857,finalized,,,,,,TRU1420303,,,,,,,,,,,,,interiors,,0.6667,,,,,,,,,,,,,,,,,,white|chair|furniture||living_room|||interiors|

1192030655,FALSE,finalized,3,3/28/17 20:06,white,1,"""white"": 1.0
",bed,1,"""bed"": 1.0
",furniture,1,"""furniture"": 1.0
",,,,bedroom,1,"""bedroom"": 1.0
",FALSE,3/22/17 16:24,3,1178725343,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/f/2/b/4/TRU1420305.jpg,,FALSE,3/10/17 23:00,3,1177858859,finalized,,,,,,TRU1420305,,,,,,,,,,,,,interiors,,0.6918,,,,,,,,,,,,,,,,,,white|bed|furniture||bedroom|||interiors|

1192030656,FALSE,finalized,3,3/28/17 20:00,white,0.36,""""": 0.32
""white"": 0.36
""black"": 0.32
""blue"": 0.32
""brown"": 0.32
""yellow"": 0.32
",chair,1,"""chair"": 1.0
",furniture,1,"""furniture"": 1.0
""windows"": 0.68
""floor"": 0.32
",,,,,0.68,"""outdoor_space"": 0.32
"""": 0.32
"""": 0.68
""bedroom"": 0.32
""entranceway"": 0.32
",FALSE,3/22/17 17:03,3,1178725455,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/9/d/7/6/TRU1427002.jpg,,FALSE,3/10/17 22:56,3,1177859126,finalized,,,,,,TRU1427002,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|chair|furniture|||||interiors|

1192030657,FALSE,finalized,3,3/28/17 19:55,white,1,"""white"": 1.0
""yellow"": 0.647
",,,,decor,0.6863,"""walls"": 0.647
""decor"": 0.686
""appliances"": 0.333
",painting,0.6863,"""painting"": 0.686
",bathroom,1,"""bathroom"": 1.0
",FALSE,3/22/17 16:33,3,1178725458,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/a/0/3/1/TRU1427007.jpg,,FALSE,3/10/17 22:44,3,1177859131,finalized,,,,,,TRU1427007,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white||decor|painting|bathroom|||interiors|

1192030658,FALSE,finalized,3,3/28/17 20:00,white,1,"""white"": 1.0
",bed,0.6623,"""bed"": 0.662
""couch"": 0.323
",furniture,0.6623,""""": 0.338
""furniture"": 0.662
",,,,bedroom,0.6623,"""hallway"": 0.338
""bedroom"": 0.662
",FALSE,3/22/17 16:31,3,1178725460,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/4/4/a/0/TRU1427011.jpg,,FALSE,3/10/17 22:50,3,1177859135,finalized,,,,,,TRU1427011,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,white|bed|furniture||bedroom|||interiors|

1192030659,FALSE,finalized,3,3/28/17 20:00,red,0.6883,"""red"": 0.688
""pink"": 0.312
",,0,,,0.3475,""""": 0.348
""furniture"": 0.341
""walls"": 0.312
""windows"": 0.312
",,,,,1,""""": 1.0
",FALSE,3/22/17 16:33,3,1178725470,finalized,without people,,,1,"""without people"": 1.0
",TA20170309,,,,,,,,,,http://trunk.orangesafebox.com/Docs/TRU/Media/TR3/9/4/0/4/TRU1436288.jpg,,FALSE,3/10/17 22:49,3,1177859209,finalized,,,,,,TRU1436288,,,,,,,,,,,,,interiors,,1,,,,,,,,,,,,,,,,,,red|||||||interiors|

1192030660,FALSE,finalized,3,3/28/17 19:59,brown,0.6669,"""brown"": 0.667
""blue"": 0.333
""white"": 0.65
",table,1,"""table"": 1.0
""chair"": 0.65
",furniture,1,"""furniture"": 1.0
""floor"": 0.317
",,,,dining_area,1,"""dining_area"": 1.0
",FALSE,3/22/17 16:29,3,1178725472,finalized,without people,,,1,"""without people"": 1.0
